00 7F 7F 60 60 60 60 60
60 60 60 60 60 7F 7F 00
00 FE FE 06 06 06 06 06
06 06 06 06 06 FE FE 00
00 FF FF 18 18 18 18 18
18 18 18 18 18 FF FF 00
60 60 60 7F 7F 60 60 60
06 06 06 FE FE 06 06 06
00 FF FF 00 00 00 00 00
00 00 00 FF FF 00 00 00
00 00 00 00 00 FF FF 00
60 60 60 60 60 60 60 60
18 18 18 18 18 18 18 18
06 06 06 06 06 06 06 06
00 3C 7E 78 78 7E 3C 00
00 3C 5A 7E 5A 66 3C 00
00 24 66 7E 7E 7E 3C 00
00 3C 7E 1E 1E 7E 3C 00
00 3C 7E 7E 7E 66 24 00
00 3C 7E 7E 7E 7E 3C 00
00 3C 5A 66 66 5A 3C 00
00 3C 5A 7E 7E 5A 5A 00
00 00 18 3C 3C 18 00 00
60 60 60 60 60 FF FF 00
06 06 06 06 06 FF FF 00
00 00 00 00 00 07 07 06
A1 A9 A9 A9 A9 A5 A9 A9
A9 A9 A9 A9 A9 A9 A9 A5
A9 A5 A9 A9 A9 A9 A9 A9
A9 A9 A9 A9 A9 A3 B2 A0
A0 A0 A0 B3 A0 A0 A0 A0
A0 A0 A0 A0 A0 B3 A0 B3
A0 A0 A0 A0 A0 A0 A0 A0
A0 A0 A0 B4 B2 A0 A9 A9
A0 B3 A0 A0 A9 A5 A9 A9
A0 B4 A0 B3 A0 B3 A0 B0
A8 A0 A1 A3 A0 A1 A9 A9
A0 B4 B2 A0 A0 A0 A0 A0
A0 A0 A0 B3 A0 A0 A0 B4
A0 A0 A0 B3 A0 A0 A0 A0
A2 A4 A0 B2 A0 A0 A0 B4
B2 A0 B2 A0 A1 A9 A9 A9
A0 B3 A0 B1 B1 A4 A0 A0
A9 A9 A9 A9 A0 A0 A0 A0
A0 B2 A0 B2 A0 B4 B2 A0
B2 A0 B2 A0 A0 A0 A0 A0
A0 A0 A0 A0 A0 A0 A0 A0
A0 A0 A0 A0 B3 A0 A0 B2
A0 B2 A0 B4 B2 A0 B2 A0
B2 A0 A1 A9 A9 A3 A0 A1
A9 A9 A3 A0 A1 A9 A5 A3
A0 B0 B0 B0 B0 B0 A0 B2
A0 B4 80 A0 B2 A0 B2 A0
B2 80 80 B4 A0 B2 B7 B1
A4 A0 B2 80 B3 B4 A0 A0
A0 A0 A0 A0 A0 A0 A0 80
B2 A0 B2 A0 B2 A0 A7 B0
B0 A8 A0 B2 B4 A0 A0 A0
B2 80 B3 B4 A0 A9 A9 A3
A0 A9 A5 A9 A0 B4 B2 A0
A0 A0 A0 A0 B2 A0 A0 B4
A0 A2 A4 A0 A0 A0 B2 80
B3 B4 A0 A0 A0 B4 A0 A0
B3 A0 A0 B4 B2 A0 A9 A9
A3 A0 A0 A0 A0 A0 A0 A0
A0 A0 A0 A0 A0 A0 A0 A0
A0 B0 B0 A8 A0 A0 B3 A0
A0 B4 B2 A0 A0 A0 B4 A0
B0 B0 A0 B4 A0 B2 A0 A0
B4 A0 A0 B3 A0 A0 A0 A0
A0 B4 A0 B1 A6 B1 A0 B4
B2 A0 B2 A0 B4 A0 A0 A0
A0 B4 A0 A7 B0 B0 A8 A0
A1 A9 A3 A0 B0 B0 A0 B4
A0 A0 A0 A0 A0 B4 B2 A0
B2 A0 A0 A0 B0 B0 B0 A8
A0 B2 A0 A0 B4 A0 B2 80
B4 A0 A0 A0 A0 B4 A0 A1
A9 A3 A0 B4 B2 A0 A0 A0
A0 A0 A0 A0 A0 A0 A0 A0
A0 A0 A0 A0 B2 80 B4 A0
A1 A3 A0 A0 A0 A2 B1 A4
A0 B4 A2 B1 B1 B1 B1 B1
B1 B1 B1 B1 B1 B1 B1 B1
B1 B1 B5 B1 B6 B1 B5 B6
B1 B1 B1 B1 B1 B1 B1 A4
21 22 23 24 25 26 27 28
29 30 31 32 33 34 35 36
37 19 10 11 12 13 14 15
16 20 0E 0E 0E 0E 0E 0E
0E 0E 0E 0E 0E 0E 0E 0E
0E 0E 0E 0E 0E 0E 0E 0E
0E 0E

